object_id,shape,admin3_pcode,shape_length,shape_area,location
69,Polygon,TH801902,0.207744,0.001512,"Thailand, Nakhon Si Thammarat, Chulabhorn, Ban Cha-Uat"
70,Polygon,TH451403,0.267492,0.001747,"Thailand, Roi Et, At Samat, Ban Chaeng"
71,Polygon,TH411107,0.417877,0.006793,"Thailand, Udon Thani, Ban Dung, Ban Chai"
72,Polygon,TH410117,0.455582,0.003686,"Thailand, Udon Thani, Mueang Udon Thani, Ban Chan"
73,Polygon,TH411106,0.868833,0.00866,"Thailand, Udon Thani, Ban Dung, Ban Chan"
74,Polygon,TH502501,0.785321,0.016075,"Thailand, Chiang Mai, Galyani Vadhana, Ban Chan"
75,Polygon,TH310903,0.439882,0.004449,"Thailand, Buri Ram, Phutthaisong, Ban Chan"
76,Polygon,TH321008,0.427113,0.006264,"Thailand, Surin, Sangkha, Ban Chan"
77,Polygon,TH130104,0.182119,0.000791,"Thailand, Pathum Thani, Mueang Pathum Thani, Ban Chang"
78,Polygon,TH210203,0.375527,0.005169,"Thailand, Rayong, Ban Chang, Ban Chang"
79,Polygon,TH141402,0.158631,0.000886,"Thailand, Phra Nakhon Si Ayutthaya, Uthai, Ban Chang"
80,Polygon,TH200618,0.236514,0.001098,"Thailand, Chon Buri, Phanat Nikhom, Ban Chang"
81,Polygon,TH500611,0.27488,0.003318,"Thailand, Chiang Mai, Mae Taeng, Ban Chang"
82,Polygon,TH720709,0.35779,0.00252,"Thailand, Suphan Buri, Song Phi Nong, Ban Chang"
83,Polygon,TH102005,0.062161,0.000193,"Thailand, Bangkok, Bangkok Noi, Ban Chang Lo"
84,Polygon,TH160605,0.232046,0.002722,"Thailand, Lop Buri, Ban Mi, Ban Chi"
85,Polygon,TH180602,0.389996,0.004679,"Thailand, Chai Nat, Hankha, Ban Chian"
86,Polygon,TH361401,1.095334,0.016984,"Thailand, Chaiyaphum, Phakdi Chumphon, Ban Chiang"
87,Polygon,TH410609,0.373009,0.005076,"Thailand, Udon Thani, Nong Han, Ban Chiang"
88,Polygon,TH412401,0.374835,0.003499,"Thailand, Udon Thani, Ku Kaeo, Ban Chiet"
89,Polygon,TH321015,0.515686,0.005834,"Thailand, Surin, Sangkha, Ban Chop"
90,Polygon,TH360701,0.844643,0.007734,"Thailand, Chaiyaphum, Bamnet Narong, Ban Chuan"
91,Polygon,TH140304,0.202877,0.001878,"Thailand, Phra Nakhon Si Ayutthaya, Nakhon Luang, Ban Chung"
92,Polygon,TH600505,0.457035,0.005451,"Thailand, Nakhon Sawan, Banphot Phisai, Ban Daen"
93,Polygon,TH341122,0.232218,0.002309,"Thailand, Ubon Ratchathani, Trakan Phuet Phon, Ban Daeng"
94,Polygon,TH412301,0.49464,0.005469,"Thailand, Udon Thani, Phibun Rak, Ban Daeng"
95,Polygon,TH570908,0.327153,0.002923,"Thailand, Chiang Rai, Mae Sai, Ban Dai"
96,Polygon,TH270613,0.409436,0.00341,"Thailand, Sa Kaeo, Aranyaprathet, Ban Dan"
97,Polygon,TH312101,0.378186,0.004367,"Thailand, Buri Ram, Ban Dan, Ban Dan"
98,Polygon,TH530111,0.285483,0.002893,"Thailand, Uttaradit, Mueang Uttaradit, Ban Dan"
99,Polygon,TH640202,0.670709,0.008026,"Thailand, Sukhothai, Ban Dan Lan Hoi, Ban Dan"
100,Polygon,TH530110,0.756862,0.015271,"Thailand, Uttaradit, Mueang Uttaradit, Ban Dan Na Kham"
101,Polygon,TH530702,0.279846,0.003657,"Thailand, Uttaradit, Phichai, Ban Dara"
102,Polygon,TH361011,0.393767,0.004302,"Thailand, Chaiyaphum, Phu Khiao, Ban Don"
103,Polygon,TH720904,0.289508,0.002679,"Thailand, Suphan Buri, U Thong, Ban Don"
